"workclass","education","marital_status","occupation","relationship","race","sex","income"
"Private","11th","Never married","Other service","Own child","White"," Male","<= 50K USD"
"State gov","Assoc voc","Married to civilian","Mechanic","Husband","White"," Male","> 50K USD"
"Private","HS grad","Married to civilian","Mechanic","Husband","Black"," Male","<= 50K USD"
"Private","HS grad","Never married","Craft and Repair","Not in family","Black"," Male","<= 50K USD"
"Local gov","Some college","Never married","Admin","Own child","White"," Female","<= 50K USD"
"Private","HS grad","Married to civilian","Craft and Repair","Wife","White"," Female","<= 50K USD"
"Private","Some college","Never married","Sales","Not in family","White"," Male","<= 50K USD"
"Self emp not inc","Masters","Divorced","Executive","Not in family","White"," Male","<= 50K USD"
"Private","HS grad","Married to civilian","Sales","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Divorced","Transportation","Not in family","White"," Male","<= 50K USD"
"Private","5th to 6th","Divorced","Craft and Repair","Not in family","White"," Female","<= 50K USD"
"Private","Some college","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"Private","Some college","Divorced","Sales","Not in family","White"," Female","<= 50K USD"
"Local gov","Some college","Married to civilian","Transportation","Wife","White"," Female","<= 50K USD"
"Private","HS grad","Never married","Other service","Not in family","White"," Female","<= 50K USD"
"Private","HS grad","Separated","Mechanic","Not in family","White"," Male","<= 50K USD"
"Private","Some college","Married to civilian","Admin","Wife","White"," Female","> 50K USD"
"Private","Some college","Never married","Admin","Own child","White"," Female","<= 50K USD"
"Private","HS grad","Never married","Other service","Other","White"," Female","<= 50K USD"
"Private","HS grad","Married to civilian","Other service","Wife","White"," Female","> 50K USD"
"Private","Bachelors","Never married","Craft and Repair","Not in family","White"," Male","<= 50K USD"
"Self emp not inc","Assoc acdm","Separated","Craft and Repair","Not in family","White"," Male","<= 50K USD"
"Private","HS grad","Never married","Other service","Not in family","White"," Female","<= 50K USD"
"Private","Some college","Married to civilian","Tech support","Husband","White"," Male","<= 50K USD"
"Private","Some college","Divorced","Handlers and cleaners","Unmarried","White"," Female","<= 50K USD"
"Private","Bachelors","Married to civilian","Executive","Husband","White"," Male","> 50K USD"
"Self emp inc","Bachelors","Married to civilian","Executive","Husband","White"," Male","> 50K USD"
"Private","Some college","Never married","Handlers and cleaners","Own child","White"," Male","<= 50K USD"
"Private","Some college","Never married","Other service","Not in family","White"," Female","<= 50K USD"
"State gov","Bachelors","Married to civilian","Protective service","Husband","White"," Male","> 50K USD"
"Private","Assoc voc","Divorced","Tech support","Not in family","White"," Female","<= 50K USD"
"Private","7th to 8th","Married to civilian","Handlers and cleaners","Husband","Other"," Male","<= 50K USD"
"Private","Masters","Married to civilian","Executive","Husband","White"," Male","> 50K USD"
"Private","HS grad","Married to civilian","Admin","Husband","White"," Male","<= 50K USD"
"Self emp not inc","HS grad","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"Private","Some college","Married to civilian","Executive","Husband","White"," Male","<= 50K USD"
"Local gov","Some college","Divorced","Other service","Not in family","Black"," Female","<= 50K USD"
"Private","HS grad","Never married","Handlers and cleaners","Unmarried","Black"," Female","<= 50K USD"
"Private","Some college","Divorced","Executive","Unmarried","White"," Female","<= 50K USD"
"Private","Doctorate","Married to civilian","Executive","Husband","White"," Male","> 50K USD"
"State gov","Some college","Married to civilian","Mechanic","Husband","White"," Male","<= 50K USD"
"Private","12th","Divorced","Craft and Repair","Not in family","White"," Male","> 50K USD"
"Private","1st to 4th","Married to civilian","Mechanic","Husband","White"," Male","<= 50K USD"
"Private","11th","Never married","Other service","Own child","White"," Female","<= 50K USD"
"Local gov","11th","Separated","Mechanic","Not in family","Black"," Male","<= 50K USD"
"State gov","HS grad","Divorced","Transportation","Unmarried","White"," Female","<= 50K USD"
"Private","Some college","Married to civilian","Sales","Husband","White"," Male","<= 50K USD"
"Private","11th","Never married","Handlers and cleaners","Own child","White"," Male","<= 50K USD"
"State gov","Bachelors","Married to civilian","Executive","Wife","White"," Female","> 50K USD"
"Private","HS grad","Divorced","Farming and fishing","Not in family","White"," Male","<= 50K USD"
"Private","10th","Never married","Craft and Repair","Unmarried","White"," Female","<= 50K USD"
"Private","HS grad","Married to civilian","Transportation","Husband","White"," Male","<= 50K USD"
"Federal gov","Masters","Never married","Prof specialty","Not in family","White"," Male","<= 50K USD"
"Private","HS grad","Never married","Handlers and cleaners","Not in family","White"," Male","<= 50K USD"
"Self emp inc","HS grad","Married to civilian","Executive","Husband","White"," Male","> 50K USD"
"Local gov","Masters","Married to civilian","Prof specialty","Husband","White"," Male","<= 50K USD"
"Self emp not inc","Bachelors","Married spouse absent","Prof specialty","Not in family","White"," Female","<= 50K USD"
"Private","Assoc acdm","Married to civilian","Other service","Wife","White"," Female","> 50K USD"
"Private","Some college","Never married","Craft and Repair","Own child","Asian"," Male","<= 50K USD"
"Private","Masters","Married to civilian","Prof specialty","Husband","White"," Male","> 50K USD"
"Local gov","HS grad","Never married","Farming and fishing","Not in family","Black"," Male","<= 50K USD"
"Local gov","Some college","Never married","Protective service","Not in family","White"," Female","<= 50K USD"
"Private","Some college","Married to civilian","Admin","Husband","White"," Male","<= 50K USD"
"Local gov","Some college","Married to civilian","Admin","Wife","White"," Female","<= 50K USD"
"Private","Bachelors","Never married","Prof specialty","Not in family","White"," Male","<= 50K USD"
"Private","HS grad","Divorced","Admin","Not in family","White"," Female","<= 50K USD"
"Federal gov","HS grad","Never married","Armed Forces","Own child","White"," Male","<= 50K USD"
"Private","Some college","Married to civilian","Prof specialty","Husband","White"," Male","> 50K USD"
"Private","9th","Never married","Craft and Repair","Other","White"," Male","<= 50K USD"
"Private","Some college","Never married","Sales","Not in family","White"," Male","<= 50K USD"
"Private","HS grad","Widowed","Executive","Unmarried","Black"," Female","<= 50K USD"
"Private","HS grad","Married to civilian","Craft and Repair","Husband","Native American"," Male","<= 50K USD"
"Private","HS grad","Married to civilian","Mechanic","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Never married","Mechanic","Own child","Black"," Female","<= 50K USD"
"Self emp inc","Some college","Married to civilian","Craft and Repair","Husband","White"," Male","> 50K USD"
"Private","HS grad","Married to civilian","Craft and Repair","Husband","White"," Male","> 50K USD"
"Self emp not inc","HS grad","Married to civilian","Sales","Wife","White"," Female","> 50K USD"
"Private","Assoc voc","Married to civilian","Mechanic","Husband","Asian"," Male","> 50K USD"
"Private","HS grad","Married to civilian","Executive","Wife","White"," Female","<= 50K USD"
"Private","Some college","Married to civilian","Transportation","Husband","Black"," Male","<= 50K USD"
"Private","HS grad","Married to civilian","Transportation","Husband","White"," Male","<= 50K USD"
"Private","Assoc acdm","Never married","Farming and fishing","Own child","White"," Male","<= 50K USD"
"Local gov","HS grad","Married to civilian","Transportation","Husband","Black"," Male","<= 50K USD"
"Private","Bachelors","Married to civilian","Prof specialty","Husband","White"," Male","<= 50K USD"
"Private","1st to 4th","Married spouse absent","Craft and Repair","Unmarried","White"," Male","<= 50K USD"
"Private","Bachelors","Never married","Tech support","Not in family","White"," Female","<= 50K USD"
"Private","HS grad","Married to civilian","Admin","Wife","White"," Female","<= 50K USD"
"Private","HS grad","Divorced","Transportation","Unmarried","White"," Male","<= 50K USD"
"Private","Some college","Married to civilian","Transportation","Husband","White"," Male","<= 50K USD"
"Private","Masters","Married to civilian","Executive","Husband","White"," Male","> 50K USD"
"Private","Bachelors","Married to civilian","Tech support","Wife","White"," Female","> 50K USD"
"Private","Some college","Never married","Prof specialty","Unmarried","White"," Male","> 50K USD"
"Private","HS grad","Never married","Craft and Repair","Not in family","White"," Male","<= 50K USD"
"Private","HS grad","Never married","Transportation","Not in family","White"," Male","<= 50K USD"
"Private","Assoc voc","Divorced","Other service","Not in family","White"," Female","<= 50K USD"
"Private","Bachelors","Never married","Craft and Repair","Not in family","White"," Female","<= 50K USD"
"Private","9th","Never married","Other service","Not in family","White"," Male","<= 50K USD"
"Private","Some college","Never married","Handlers and cleaners","Own child","White"," Male","<= 50K USD"
"Private","10th","Never married","Other service","Not in family","White"," Male","<= 50K USD"
"Private","HS grad","Never married","Other service","Unmarried","White"," Female","<= 50K USD"
"Private","Assoc acdm","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"Self emp not inc","Some college","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"State gov","Bachelors","Never married","Prof specialty","Not in family","White"," Male","<= 50K USD"
"Private","HS grad","Married spouse absent","Craft and Repair","Unmarried","White"," Female","<= 50K USD"
"Private","Some college","Married spouse absent","Admin","Own child","Black"," Female","<= 50K USD"
"Local gov","HS grad","Married to civilian","Transportation","Husband","White"," Male","<= 50K USD"
"Local gov","Bachelors","Divorced","Prof specialty","Unmarried","White"," Female","<= 50K USD"
"Private","Bachelors","Married to civilian","Sales","Husband","White"," Male","> 50K USD"
"Private","HS grad","Never married","Other service","Not in family","White"," Female","<= 50K USD"
"Federal gov","HS grad","Divorced","Admin","Not in family","White"," Male","<= 50K USD"
"Private","Assoc acdm","Never married","Executive","Not in family","White"," Female","<= 50K USD"
"Private","HS grad","Divorced","Prof specialty","Unmarried","White"," Female","<= 50K USD"
"Private","Bachelors","Never married","Craft and Repair","Own child","White"," Male","<= 50K USD"
"Private","HS grad","Divorced","Admin","Unmarried","White"," Female","<= 50K USD"
"Private","Some college","Never married","Mechanic","Own child","White"," Male","<= 50K USD"
"Private","5th to 6th","Never married","Other service","Own child","White"," Male","<= 50K USD"
"Private","Some college","Never married","Prof specialty","Not in family","White"," Female","<= 50K USD"
"Local gov","HS grad","Never married","Farming and fishing","Not in family","White"," Male","<= 50K USD"
"Local gov","HS grad","Married to civilian","Transportation","Husband","White"," Male","<= 50K USD"
"Private","Some college","Married to civilian","Admin","Husband","White"," Male","<= 50K USD"
